Date,Open,High,Low,Close,Volume,Adj Close
2015-05-07,169.63,171.98,169.03999,170.99001,2472000,170.99001
2015-05-06,172.89999,174.05,168.86,170.05,3612600,170.05
2015-05-05,173.50999,174.23,171.96001,173.08,3593600,171.78
2015-05-04,174.47,176.30,173.70,173.97,4028000,172.66331
2015-05-01,173.20,174.00,172.42,173.67,3312100,172.36557
2015-04-30,173.77,174.28,170.30,171.28999,5062900,170.00345
2015-04-29,173.39999,175.13,172.80,174.39999,4518400,173.09009
2015-04-28,170.83,174.69,170.02,173.92,5816700,172.61369
2015-04-27,170.89,171.49001,170.30,170.73,3168600,169.44765
2015-04-24,170.23,170.85001,168.74001,169.78,3888400,168.50479
2015-04-23,165.23,171.91,165.14,170.24001,8235600,168.96133
2015-04-22,164.39,166.00,162.89,165.36,4024800,164.11798
2015-04-21,166.07001,167.38,164.05,164.25999,9683600,163.02625
2015-04-20,162.10001,166.64,161.89999,166.16,9609200,164.91199
2015-04-17,161.75,161.86,160.03,160.67,4314400,159.46321
2015-04-16,163.31,163.98,162.53999,163.13,3136900,161.90474
2015-04-15,162.63,164.96001,162.50,164.13,3498800,162.89723
2015-04-14,162.42,162.74001,160.78999,162.30,2719300,161.08098
2015-04-13,162.37,164.00,162.36,162.38,3868900,161.16037
2015-04-10,162.34,163.33,161.25,162.86,2515700,161.63676
2015-04-09,161.70,162.47,160.72,162.34,2263500,161.12067
2015-04-08,161.72,163.55,161.00999,161.85001,2524300,160.63435
2015-04-07,161.67,163.84,161.62,162.07001,3148000,160.85271
2015-04-06,159.69,162.80,158.70,162.03999,3465700,160.82292
2015-04-02,159.52,162.53999,158.89,160.45,4671600,159.24486
2015-04-01,160.23,160.62,158.39,159.17999,3700800,157.98441
2015-03-31,161.08,162.33,160.39999,160.50,4255400,159.29449
2015-03-30,161.31,163.60001,161.25,162.67,4138000,161.4482
2015-03-27,160.78999,160.89999,159.23,160.39999,3477900,159.19524
2015-03-26,159.27,161.25,158.91,160.59,4396000,159.3838
2015-03-25,163.08,163.08,159.20,159.20,5428900,158.00426
2015-03-24,164.78999,164.89,162.89999,163.00,4346100,161.77571
2015-03-23,162.77,165.35001,162.73,164.63,5930100,163.39348
2015-03-20,160.95,163.00,160.35001,162.88,9006400,161.65662
2015-03-19,159.70,160.92,158.81,159.81,3878600,158.60966
2015-03-18,156.85001,160.70,155.80,159.81,5738800,158.60966
2015-03-17,156.20,157.28999,155.37,156.96001,3311700,155.78108
2015-03-16,155.05,157.09,154.80,157.08,3749600,155.90018
2015-03-13,157.46001,157.52,1mm53.39999,154.28,6064100,153.1212
2015-03-12,156.27,158.72,156.27,157.98,4567300,156.79341
2015-03-11,158.57001,159.14,155.94,156.80,5709900,155.62228
2015-03-10,159.60001,160.23,157.81,157.81,4601000,156.62469
2015-03-09,158.20,161.14999,158.20,160.77,5193900,159.56247
2015-03-06,160.19,161.44,158.06,158.50,4540200,157.30951
2015-03-05,159.86,161.50,159.70,161.17999,3791700,159.96938
2015-03-04,160.53999,160.56,158.72,159.42,3633600,158.2226
2015-03-03,160.27,161.75,160.00,161.03,3234400,159.82051
2015-03-02,161.94,161.94,159.81,160.48,5917900,159.27464
2015-02-27,160.87,162.28999,160.16,161.94,4410000,160.72368
2015-02-26,163.74001,164.14,159.77,160.87,7110800,159.66171
2015-02-25,164.94,164.96001,162.58,162.81,4004600,161.58714
2015-02-24,162.49001,164.99001,161.50999,164.83,4701600,163.59196
2015-02-23,164.23,164.39999,162.50,162.91,2714400,161.68639
2015-02-20,163.64,164.34,162.09,163.64999,3353000,162.42082
2015-02-19,162.05,164.49001,161.44,163.89,3504400,162.65903
2015-02-18,161.86,162.47,160.64,162.19,4358400,160.9718
2015-02-17,159.75,161.41,159.73,160.96001,2894500,159.75104
2015-02-13,158.78,160.80,158.64,160.39999,3706900,159.19524
2015-02-12,158.72,159.50,158.09,158.52,3333100,157.32936
2015-02-11,157.75999,159.09,157.17,158.20,3626700,157.01176
2015-02-10,156.74001,158.56,155.08,158.56,4440600,157.36906
2015-02-09,156.00,157.50,155.39999,155.75,3057700,154.58017
2015-02-06,157.34,158.08,156.23,156.72,3225000,155.54288
2015-02-05,157.28999,158.59,157.14999,157.91,5253600,155.63222
2015-02-04,157.21001,158.71001,156.70,156.96001,3678500,154.69592
2015-02-03,154.75,158.60001,154.75,158.47,5539400,156.18413
2015-02-02,154.00,154.66,151.50999,154.66,4712200,152.42909
2015-01-30,153.91,155.24001,153.03999,153.31,6563600,151.09856
2015-01-29,151.38,155.58,149.52,155.48,8320800,153.23726
2015-01-28,154.00,154.53,151.55,151.55,4495900,149.36395
2015-01-27,154.94,155.09,152.59,153.67,5659600,151.45337
